Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
2.2e+09,Capacitance,4.25621e-13,-1.06387e-13,-3.97227e-15,-1.39267e-15,4.33332e-13,-5.06428e-14,-3.95692e-15,4.33461e-13,-1.06402e-13,4.24907e-13
2.3e+09,Resistance,0.198393,0.0164099,0.00406363,-0.00313482,0.201179,0.0236761,0.00402633,0.200397,0.0161098,0.191703
2.3e+09,Inductance,2.07811e-09,7.58262e-10,2.29651e-10,1.24972e-10,2.06351e-09,4.68233e-10,2.2966e-10,2.06317e-09,7.585e-10,2.08007e-09
2.3e+09,Conductance,0.00010461,-2.03876e-05,-2.78557e-07,8.12057e-07,0.000105312,-1.06277e-05,-2.52668e-07,0.000105409,-2.05009e-05,0.000104538
2.3e+09,Capacitance,4.25415e-13,-1.06325e-13,-3.96243e-15,-1.38134e-15,4.33121e-13,-5.06097e-14,-3.94701e-15,4.3325e-13,-1.0634e-13,4.24701e-13
2.4e+09,Resistance,0.203039,0.0168814,0.00420129,-0.0032462,0.205789,0.0240998,0.00416482,0.204999,0.0165714,0.19616
2.4e+09,Inductance,2.07777e-09,7.58227e-10,2.29661e-10,1.24981e-10,2.06317e-09,4.68205e-10,2.29669e-10,2.06283e-09,7.58466e-10,2.07975e-09
2.4e+09,Conductance,0.000109111,-2.12716e-05,-2.91646e-07,8.61958e-07,0.00010985,-1.10568e-05,-2.65423e-07,0.00010995,-2.13875e-05,0.000109029
2.4e+09,Capacitance,4.25218e-13,-1.06265e-13,-3.95334e-15,-1.37014e-15,4.32919e-13,-5.05774e-14,-3.93788e-15,4.33048e-13,-1.06279e-13,4.24505e-13
2.5e+09,Resistance,0.207487,0.0173049,0.00434139,-0.00332341,0.210193,0.0244866,0.00430711,0.209397,0.0169864,0.200431
2.5e+09,Inductance,2.07746e-09,7.58196e-10,2.29676e-10,1.24994e-10,2.06286e-09,4.68183e-10,2.29684e-10,2.06252e-09,7.58434e-10,2.07945e-09
2.5e+09,Conductance,0.00011355,-2.2129e-05,-3.01738e-07,9.07108e-07,0.000114323,-1.1464e-05,-2.75398e-07,0.000114425,-2.22472e-05,0.000113459
2.5e+09,Capacitance,4.25029e-13,-1.06205e-13,-3.94492e-15,-1.35909e-15,4.32726e-13,-5.05461e-14,-3.92942e-15,4.32854e-13,-1.0622e-13,4.24317e-13
2.6e+09,Resistance,0.211748,0.0176825,0.00448373,-0.00336665,0.214404,0.0248405,0.00445293,0.213604,0.0173571,0.204525
2.6e+09,Inductance,2.07716e-09,7.58168e-10,2.29698e-10,1.25013e-10,2.06256e-09,4.68166e-10,2.29705e-10,2.06222e-09,7.58407e-10,2.07916e-09
2.6e+09,Conductance,0.000117929,-2.29606e-05,-3.08706e-07,9.47333e-07,0.000118733,-1.18501e-05,-2.8244e-07,0.000118838,-2.30805e-05,0.000117827
2.6e+09,Capacitance,4.24849e-13,-1.06147e-13,-3.93707e-15,-1.34824e-15,4.32541e-13,-5.05157e-14,-3.92154e-15,4.32669e-13,-1.06162e-13,4.24137e-13
2.7e+09,Resistance,0.215835,0.0180173,0.00462839,-0.00337625,0.218437,0.0251663,0.00460234,0.217635,0.0176864,0.208455
