Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
3.7e+09,Inductance,5.28574e-09,1.9656e-09,5.28574e-09
3.7e+09,Conductance,0.000448846,-0.000102409,0.000448846
3.7e+09,Capacitance,1.01799e-12,-2.56303e-13,1.01799e-12
3.8e+09,Resistance,0.911291,0.0607575,0.911291
3.8e+09,Inductance,5.28537e-09,1.96557e-09,5.28537e-09
3.8e+09,Conductance,0.00045993,-0.000104673,0.00045993
3.8e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
3.9e+09,Resistance,0.923781,0.0621754,0.923781
3.9e+09,Inductance,5.28503e-09,1.96555e-09,5.28503e-09
3.9e+09,Conductance,0.000471122,-0.000107031,0.000471122
3.9e+09,Capacitance,1.01799e-12,-2.563e-13,1.01799e-12
4e+09,Resistance,0.934995,0.0625064,0.934995
4e+09,Inductance,5.28474e-09,1.96554e-09,5.28474e-09
4e+09,Conductance,0.000482422,-0.000109326,0.000482422
4e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
4.1e+09,Resistance,0.946741,0.0631139,0.946741
4.1e+09,Inductance,5.28444e-09,1.96552e-09,5.28444e-09
4.1e+09,Conductance,0.000493572,-0.000111537,0.000493572
4.1e+09,Capacitance,1.01799e-12,-2.56303e-13,1.01799e-12
4.2e+09,Resistance,0.957505,0.063473,0.957505
4.2e+09,Inductance,5.28414e-09,1.96549e-09,5.28414e-09
4.2e+09,Conductance,0.00050488,-0.000113828,0.00050488
4.2e+09,Capacitance,1.01799e-12,-2.56304e-13,1.01799e-12
4.3e+09,Resistance,0.96984,0.0647039,0.96984
4.3e+09,Inductance,5.28386e-09,1.96548e-09,5.28386e-09
4.3e+09,Conductance,0.000515906,-0.000116067,0.000515906
4.3e+09,Capacitance,1.01799e-12,-2.56303e-13,1.01799e-12
4.4e+09,Resistance,0.981973,0.0665843,0.981973
4.4e+09,Inductance,5.28354e-09,1.96544e-09,5.28354e-09
4.4e+09,Conductance,0.000527035,-0.000118463,0.000527035
4.4e+09,Capacitance,1.01799e-12,-2.56299e-13,1.01799e-12
4.5e+09,Resistance,0.99248,0.0667148,0.99248
4.5e+09,Inductance,5.28328e-09,1.96542e-09,5.28328e-09
4.5e+09,Conductance,0.000538243,-0.000120664,0.000538243
4.5e+09,Capacitance,1.01799e-12,-2.56301e-13,1.01799e-12
4.6e+09,Resistance,1.00362,0.0674676,1.00362
4.6e+09,Inductance,5.28301e-09,1.9654e-09,5.28301e-09
4.6e+09,Conductance,0.000549362,-0.000122909,0.000549362
4.6e+09,Capacitance,1.01799e-12,-2.563e-13,1.01799e-12
4.7e+09,Resistance,1.01467,0.0684136,1.01467
4.7e+09,Inductance,5.28278e-09,1.96539e-09,5.28278e-09
4.7e+09,Conductance,0.000560488,-0.000125175,0.000560488
4.7e+09,Capacitance,1.01799e-12,-2.56301e-13,1.01799e-12
4.8e+09,Resistance,1.02525,0.0683471,1.02525
4.8e+09,Inductance,5.28254e-09,1.96538e-09,5.28254e-09
4.8e+09,Conductance,0.000571552,-0.0001273,0.000571552
4.8e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
4.9e+09,Resistance,1.03585,0.0694568,1.03585
4.9e+09,Inductance,5.2823e-09,1.96536e-09,5.2823e-09
4.9e+09,Conductance,0.000582734,-0.00012962,0.000582734
4.9e+09,Capacitance,1.01799e-12,-2.56301e-13,1.01799e-12
5e+09,Resistance,1.04555,0.069463,1.04555
