Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
7.5e+09,Inductance,5.15044e-09,1.96838e-09,5.08972e-09
7.5e+09,Conductance,0.000850072,-0.000595738,0.00571516
7.5e+09,Capacitance,1.05786e-12,-2.75397e-13,1.05511e-12
7.6e+09,Resistance,28.4445,-1.70808,-15.9071
7.6e+09,Inductance,5.79221e-09,1.41939e-09,5.86086e-09
7.6e+09,Conductance,-0.00469011,0.000564511,0.00374565
7.6e+09,Capacitance,8.51853e-13,-9.83696e-14,8.46402e-13
7.7e+09,Resistance,10.2405,2.60081,15.7936
7.7e+09,Inductance,5.50702e-09,2.02286e-09,5.42722e-09
7.7e+09,Conductance,-0.00160909,0.000788472,-0.00215028
7.7e+09,Capacitance,9.74693e-13,-2.51173e-13,9.79054e-13
7.8e+09,Resistance,-3.35997,9.0207,3.41035
7.8e+09,Inductance,5.16723e-09,2.07181e-09,5.09871e-09
7.8e+09,Conductance,0.00381449,-0.00281904,0.000679902
7.8e+09,Capacitance,1.05722e-12,-3.06489e-13,1.08071e-12
7.9e+09,Resistance,-7.30754,8.38781,-4.68737
7.9e+09,Inductance,5.49591e-09,1.90593e-09,5.3237e-09
7.9e+09,Conductance,0.00361555,-0.00276817,0.00287516
7.9e+09,Capacitance,9.57967e-13,-2.21118e-13,9.98583e-13
8e+09,Resistance,13.8882,3.97507,5.75623
8e+09,Inductance,5.19103e-09,2.08102e-09,5.45273e-09
8e+09,Conductance,-0.0036299,0.000460724,0.00058064
8e+09,Capacitance,1.04832e-12,-2.88675e-13,9.97884e-13
8.1e+09,Resistance,-6.70437,0.03412,6.54675
8.1e+09,Inductance,5.33669e-09,1.92782e-09,5.25712e-09
8.1e+09,Conductance,0.00294862,-0.000223355,-0.000621605
8.1e+09,Capacitance,1.00904e-12,-2.38497e-13,1.00518e-12
8.2e+09,Resistance,2.34695,3.96059,6.46342
8.2e+09,Inductance,5.25123e-09,1.97581e-09,5.23797e-09
8.2e+09,Conductance,0.000466765,-0.000553594,-0.000562897
8.2e+09,Capacitance,1.03482e-12,-2.68077e-13,1.02125e-12
8.3e+09,Resistance,3.11964,2.62571,3.51446
8.3e+09,Inductance,5.29612e-09,1.89676e-09,5.28386e-09
8.3e+09,Conductance,8.23504e-05,-0.000398632,0.000857033
8.3e+09,Capacitance,9.99709e-13,-2.41334e-13,1.01073e-12
8.4e+09,Resistance,-5.47726,-3.50833,-3.37925
8.4e+09,Inductance,5.2193e-09,1.98128e-09,5.28719e-09
8.4e+09,Conductance,0.00268128,-0.000306389,0.00223613
8.4e+09,Capacitance,1.05049e-12,-2.71788e-13,1.02628e-12
8.5e+09,Resistance,-1.21521,3.73258,7.72235
8.5e+09,Inductance,5.22299e-09,2.07356e-09,5.39084e-09
8.5e+09,Conductance,0.00115479,-0.000769481,0.000625897
8.5e+09,Capacitance,1.05235e-12,-2.80584e-13,9.88162e-13
8.6e+09,Resistance,0.17651,-1.14825,1.64611
8.6e+09,Inductance,5.38334e-09,1.92993e-09,5.21796e-09
8.6e+09,Conductance,0.00141113,0.000282068,-0.000373602
8.6e+09,Capacitance,9.87735e-13,-2.46906e-13,1.02846e-12
8.7e+09,Resistance,2.82618,4.59467,10.6565
8.7e+09,Inductance,5.27651e-09,1.98567e-09,5.30642e-09
8.7e+09,Conductance,0.000773355,-0.000318575,-0.00119234
8.7e+09,Capacitance,1.01834e-12,-2.62796e-13,9.96388e-13
8.8e+09,Resistance,-1.42589,-0.00334855,0.980389
8.8e+09,Inductance,5.28763e-09,1.98655e-09,5.29253e-09
8.8e+09,Conductance,0.00130557,-0.000846834,0.00208143
8.8e+09,Capacitance,1.03352e-12,-2.61643e-13,1.01517e-12
