R,L,G,C
2.845186729,1.49E-07,-0.003780414,-2.09E-11
36.17374874,4.06E-07,0.019461016,8.53E-11
-1.144225525,4.53E-08,0.000529125,-8.16E-13
4.846569513,9.22E-08,-0.001902275,-9.96E-12
36.03002994,4.06E-07,0.019475962,8.53E-11
-1.381919066,2.47E-08,9.51E-05,-2.73E-13
-1.070995781,4.53E-08,0.000520801,-8.13E-13
2.833509042,1.49E-07,-0.00378934,-2.09E-11
34.96649123,4.10E-07,0.019586361,8.36E-11
2.40E+09,2.40E+09,2.40E+09,2.40E+09
36.9618925,4.09E-07,0.020444823,8.37E-11
2.925004928,1.49E-07,-0.003943384,-2.09E-11
37.02308345,4.06E-07,0.020308607,8.52E-11
-1.250625028,4.53E-08,0.00055718,-8.16E-13
4.953354866,9.22E-08,-0.001981267,-9.95E-12
36.87774086,4.06E-07,0.02032402,8.52E-11
-1.491968987,2.47E-08,0.000106095,-2.70E-13
-1.173912009,4.53E-08,0.000548334,-8.13E-13
2.913389241,1.49E-07,-0.003952364,-2.09E-11
35.71931254,4.09E-07,0.020419693,8.36E-11
2.50E+09,2.50E+09,2.50E+09,2.50E+09
37.74750419,4.09E-07,0.021279096,8.37E-11
3.004407633,1.49E-07,-0.004103925,-2.09E-11
37.87394567,4.06E-07,0.021156328,8.52E-11
-1.335684853,4.54E-08,0.000580166,-8.15E-13
5.058222654,9.22E-08,-0.002056925,-9.95E-12
37.72728893,4.06E-07,0.021172177,8.52E-11
-1.590462351,2.47E-08,0.000117672,-2.68E-13
-1.255928716,4.54E-08,0.000570892,-8.12E-13
2.992783989,1.49E-07,-0.004112961,-2.09E-11
36.47329549,4.09E-07,0.02125183,8.35E-11
2.60E+09,2.60E+09,2.60E+09,2.60E+09
38.5335185,4.09E-07,0.022112479,8.36E-11
3.083114656,1.49E-07,-0.004262,-2.09E-11
38.72509178,4.06E-07,0.022003961,8.52E-11
-1.397281124,4.54E-08,0.000597709,-8.14E-13
5.161636212,9.22E-08,-0.002129121,-9.94E-12
38.57740685,4.06E-07,0.022020219,8.52E-11
-1.6758919,2.47E-08,0.000129729,-2.66E-13
-1.314980467,4.54E-08,0.000588115,-8.11E-13
3.071399587,1.49E-07,-0.004271102,-2.09E-11
37.22859575,4.09E-07,0.022082995,8.35E-11
2.70E+09,2.70E+09,2.70E+09,2.70E+09
39.31984681,4.09E-07,0.022945138,8.36E-11
3.16087563,1.49E-07,-0.004417608,-2.09E-11
39.57513182,4.06E-07,0.022851314,8.51E-11
-1.433792943,4.54E-08,0.000609552,-8.14E-13
5.263986856,9.22E-08,-0.002197772,-9.93E-12
39.42668374,4.06E-07,0.022867957,8.52E-11
-1.746937812,2.47E-08,0.000142184,-2.64E-13
-1.349492247,4.54E-08,0.000599754,-8.10E-13
3.148976452,1.49E-07,-0.004426789,-2.09E-11
37.98497779,4.09E-07,0.022913373,8.35E-11
2.80E+09,2.80E+09,2.80E+09,2.80E+09
40.10609959,4.09E-07,0.023777209,8.36E-11
3.237470725,1.49E-07,-0.004570782,-2.09E-11
40.42262136,4.06E-07,0.023698222,8.51E-11
-1.444164117,4.54E-08,0.000615562,-8.13E-13
5.365585136,9.22E-08,-0.002262852,-9.93E-12
40.27365642,4.06E-07,0.023715231,8.51E-11
-1.802490174,2.47E-08,0.000154926,-2.62E-13
-1.358437973,4.54E-08,0.000605685,-8.09E-13
3.225289525,1.49E-07,-0.004580061,-2.09E-11
38.74192802,4.09E-07,0.023743117,8.34E-11
2.90E+09,2.90E+09,2.90E+09,2.90E+09
40.89167864,4.09E-07,0.024608803,8.36E-11
3.312709732,1.49E-07,-0.004721584,-2.09E-11
41.26612911,4.06E-07,0.024544552,8.51E-11
-1.427947171,4.54E-08,0.000615744,-8.11E-13
5.4666537,9.22E-08,-0.00232439,-9.93E-12
41.11687643,4.06E-07,0.024561911,8.51E-11
-1.841667907,2.47E-08,0.00016781,-2.60E-13
-1.341381941,4.54E-08,0.000605914,-8.08E-13
3.300146983,1.49E-07,-0.00473098,-2.09E-11
39.49874507,4.09E-07,0.024572351,8.34E-11
3.00E+09,3.00E+09,3.00E+09,3.00E+09
41.67585036,4.09E-07,0.025440007,8.35E-11
3.386430439,1.49E-07,-0.004870102,-2.09E-11
42.10428556,4.06E-07,0.025390196,8.50E-11
-1.385324484,4.54E-08,0.000610241,-8.10E-13
5.567323358,9.22E-08,-0.002382474,-9.92E-12
41.95495827,4.06E-07,0.025407889,8.51E-11
-1.863832981,2.47E-08,0.000180663,-2.58E-13
-1.298498381,4.54E-08,0.000600584,-8.07E-13
3.373388209,1.49E-07,-0.004879637,-2.09E-11
40.25461091,4.09E-07,0.025401173,8.34E-11
3.10E+09,3.10E+09,3.10E+09,3.10E+09
42.45780368,4.09E-07,0.026270888,8.35E-11
3.458497093,1.49E-07,-0.005016449,-2.08E-11
42.93581715,4.06E-07,0.026235071,8.50E-11
-1.317102803,4.54E-08,0.000599334,-8.09E-13
5.667633554,9.22E-08,-0.002437253,-9.92E-12
42.78661306,4.06E-07,0.026253084,8.50E-11
-1.868598987,2.47E-08,0.00019328,-2.57E-13
-1.23056564,4.54E-08,0.000589968,-8.05E-13
3.444881803,1.49E-07,-0.005026146,-2.08E-11
41.00864656,4.09E-07,0.026229661,8.34E-11
3.20E+09,3.20E+09,3.20E+09,3.20E+09
43.2366955,4.09E-07,0.027101498,8.35E-11
3.528799509,1.49E-07,-0.00516076,-2.08E-11
43.7595694,4.06E-07,0.027079115,8.50E-11
-1.224679491,4.54E-08,0.000583428,-8.07E-13
5.767537935,9.22E-08,-0.002488926,-9.91E-12
43.6106714,4.06E-07,0.027097435,8.50E-11
-1.855833485,2.47E-08,0.000205436,-2.55E-13
-1.138933492,4.54E-08,0.000574462,-8.04E-13
3.514524215,1.49E-07,-0.005170639,-2.08E-11
41.7599553,4.09E-07,0.027057875,8.33E-11
3.30E+09,3.30E+09,3.30E+09,3.30E+09
44.01168621,4.09E-07,0.027931874,8.35E-11
3.597253173,1.49E-07,-0.005303185,-2.08E-11
44.57452179,4.06E-07,0.027922288,8.50E-11
-1.109981294,4.54E-08,0.000563044,-8.05E-13
5.866915093,9.22E-08,-0.002537745,-9.91E-12
44.42609807,4.06E-07,0.027940903,8.50E-11
-1.825654028,2.48E-08,0.000216888,-2.53E-13
-1.025464336,4.54E-08,0.000554571,-8.02E-13
3.582239352,1.49E-07,-0.005313265,-2.08E-11
42.50765602,4.09E-07,0.027885857,8.33E-11
3.40E+09,3.40E+09,3.40E+09,3.40E+09
44.78196728,4.09E-07,0.028762042,8.34E-11
3.663800421,1.49E-07,-0.005443889,-2.08E-11
45.37979659,4.06E-07,0.028764564,8.50E-11
-0.975378977,4.54E-08,0.000538792,-8.03E-13
5.965584,9.22E-08,-0.002583999,-9.90E-12
45.23200079,4.06E-07,0.028783462,8.50E-11
-1.778418202,2.48E-08,0.000227389,-2.52E-13
-0.892451444,4.54E-08,0.00053089,-8.00E-13
3.647979235,1.49E-07,-0.005454188,-2.08E-11
43.25090887,4.09E-07,0.02871364,8.33E-11
3.50E+09,3.50E+09,3.50E+09,3.50E+09
45.54678251,4.09E-07,0.029592017,8.34E-11
3.728412511,1.49E-07,-0.005583047,-2.08E-11
46.17466309,4.06E-07,0.029605934,8.49E-11
-0.823583389,4.55E-08,0.000511349,-8.00E-13
6.063323084,9.22E-08,-0.002628012,-9.90E-12
46.02763448,4.06E-07,0.029625103,8.50E-11
-1.714708459,2.48E-08,0.000236695,-2.50E-13
-0.742519503,4.55E-08,0.000504075,-7.97E-13
3.711725578,1.49E-07,-0.005593579,-2.08E-11
43.98893447,4.09E-07,0.029541242,8.33E-11
3.60E+09,3.60E+09,3.60E+09,3.60E+09
46.30544396,4.09E-07,0.030421809,8.34E-11
3.791092283,1.49E-07,-0.00572084,-2.08E-11
46.95853835,4.06E-07,0.030446399,8.49E-11
-0.657530163,4.55E-08,0.000481431,-7.98E-13
6.159891549,9.22E-08,-0.002670123,-9.89E-12
46.81240204,4.06E-07,0.030465827,8.49E-11
-1.635312806,2.48E-08,0.000244579,-2.48E-13
-0.578514213,4.55E-08,0.000474823,-7.95E-13
3.773491963,1.49E-07,-0.005731617,-2.08E-11
44.7210282,4.09E-07,0.030368675,8.33E-11
3.70E+09,3.70E+09,3.70E+09,3.70E+09
47.05734351,4.09E-07,0.03125142,8.34E-11
3.851876939,1.49E-07,-0.005857452,-2.08E-11
47.73098519,4.06E-07,0.03128597,8.49E-11
-0.480261026,4.55E-08,0.000449767,-7.95E-13
6.255051312,9.22E-08,-0.002710684,-9.89E-12
47.58585255,4.06E-07,0.031305645,8.49E-11
-1.541202549,2.48E-08,0.00025084,-2.47E-13
-0.403388446,4.55E-08,0.000443843,-7.92E-13
3.83332619,1.49E-07,-0.005868481,-2.08E-11
45.44657016,4.09E-07,0.031195946,8.32E-11
3.80E+09,3.80E+09,3.80E+09,3.80E+09
47.80196056,4.09E-07,0.032080849,8.34E-11
3.910840493,1.49E-07,-0.005993065,-2.08E-11
48.49170794,4.06E-07,0.032124668,8.49E-11
-0.294809508,4.55E-08,0.000417068,-7.93E-13
6.348587952,9.23E-08,-0.002750045,-9.89E-12
48.34767709,4.06E-07,0.032144576,8.49E-11
-1.43350827,2.48E-08,0.000255316,-2.46E-13
-0.220092361,4.55E-08,0.000411829,-7.89E-13
3.891312352,1.49E-07,-0.006004352,-2.08E-11
46.16503155,4.09E-07,0.032023054,8.32E-11
3.90E+09,3.90E+09,3.90E+09,3.90E+09
48.53886642,4.09E-07,0.032910091,8.33E-11
3.968095445,1.49E-07,-0.006127856,-2.08E-11
49.24054629,4.06E-07,0.032962515,8.48E-11
-0.104097892,4.55E-08,0.000384009,-7.90E-13
6.440329252,9.23E-08,-0.002788542,-9.88E-12
49.09770265,4.06E-07,0.032982645,8.49E-11
-1.31349503,2.48E-08,0.000257888,-2.44E-13
