Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
1.5e+09,Inductance,2.08314e-09,7.60021e-10,2.31723e-10,1.26506e-10,2.0684e-09,4.70166e-10,2.31731e-10,2.06808e-09,7.60252e-10,2.08485e-09
1.5e+09,Conductance,6.52923e-05,-1.21272e-05,7.29298e-07,4.12155e-07,6.44285e-05,-5.98015e-06,7.14349e-07,6.44634e-05,-1.21042e-05,6.51773e-05
1.5e+09,Capacitance,4.27058e-13,-1.06707e-13,-4.21294e-15,-1.4263e-15,4.34777e-13,-5.08219e-14,-4.19813e-15,4.34894e-13,-1.06726e-13,4.26391e-13
1.6e+09,Resistance,0.155365,0.0129829,0.00247437,-0.00161956,0.154645,0.0226915,0.00263612,0.15394,0.0126444,0.150959
1.6e+09,Inductance,2.08261e-09,7.60013e-10,2.3174e-10,1.26484e-10,2.06789e-09,4.70097e-10,2.31747e-10,2.06758e-09,7.60245e-10,2.08434e-09
1.6e+09,Conductance,6.96518e-05,-1.3008e-05,8.60234e-07,5.4513e-07,6.86628e-05,-6.4694e-06,8.42481e-07,6.86991e-05,-1.29792e-05,6.95316e-05
1.6e+09,Capacitance,4.26783e-13,-1.06649e-13,-4.21497e-15,-1.41065e-15,4.34506e-13,-5.07821e-14,-4.20008e-15,4.34622e-13,-1.06668e-13,4.26116e-13
1.7e+09,Resistance,0.159903,0.0136325,0.00227234,-0.00235465,0.159307,0.0238559,0.00244524,0.158572,0.0132582,0.155265
1.7e+09,Inductance,2.08214e-09,7.60003e-10,2.31757e-10,1.26467e-10,2.06745e-09,4.70032e-10,2.31764e-10,2.06714e-09,7.60234e-10,2.08389e-09
1.7e+09,Conductance,7.39886e-05,-1.38902e-05,9.73012e-07,6.94752e-07,7.29044e-05,-6.94189e-06,9.52657e-07,7.29421e-05,-1.38561e-05,7.38627e-05
1.7e+09,Capacitance,4.26526e-13,-1.06592e-13,-4.21667e-15,-1.39585e-15,4.34253e-13,-5.07434e-14,-4.20169e-15,4.34369e-13,-1.06611e-13,4.25858e-13
1.8e+09,Resistance,0.164324,0.0143243,0.00214394,-0.00310056,0.163968,0.0250061,0.00232786,0.163207,0.0139195,0.159467
1.8e+09,Inductance,2.08172e-09,7.59989e-10,2.31774e-10,1.26455e-10,2.06706e-09,4.69971e-10,2.3178e-10,2.06675e-09,7.60221e-10,2.08349e-09
