Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_2:Line_1_2)
7.8e+09,Inductance,3.73626e-09
7.8e+09,Conductance,0.00137003
7.8e+09,Capacitance,1.47719e-12
7.9e+09,Resistance,0.684887
7.9e+09,Inductance,3.7362e-09
7.9e+09,Conductance,0.00138704
7.9e+09,Capacitance,1.47719e-12
8e+09,Resistance,0.689224
8e+09,Inductance,3.73615e-09
8e+09,Conductance,0.00140404
8e+09,Capacitance,1.47719e-12
8.1e+09,Resistance,0.693553
8.1e+09,Inductance,3.73609e-09
8.1e+09,Conductance,0.00142103
8.1e+09,Capacitance,1.47719e-12
8.2e+09,Resistance,0.697831
8.2e+09,Inductance,3.73603e-09
8.2e+09,Conductance,0.00143803
8.2e+09,Capacitance,1.47719e-12
8.3e+09,Resistance,0.702097
8.3e+09,Inductance,3.73598e-09
8.3e+09,Conductance,0.00145502
8.3e+09,Capacitance,1.47719e-12
8.4e+09,Resistance,0.70634
8.4e+09,Inductance,3.73593e-09
8.4e+09,Conductance,0.001472
8.4e+09,Capacitance,1.47719e-12
8.5e+09,Resistance,0.710557
8.5e+09,Inductance,3.73588e-09
8.5e+09,Conductance,0.00148899
8.5e+09,Capacitance,1.47719e-12
8.6e+09,Resistance,0.714739
8.6e+09,Inductance,3.73582e-09
8.6e+09,Conductance,0.00150597
8.6e+09,Capacitance,1.47719e-12
8.7e+09,Resistance,0.718898
8.7e+09,Inductance,3.73577e-09
8.7e+09,Conductance,0.00152294
8.7e+09,Capacitance,1.4772e-12
8.8e+09,Resistance,0.723047
8.8e+09,Inductance,3.73572e-09
8.8e+09,Conductance,0.00153991
8.8e+09,Capacitance,1.4772e-12
8.9e+09,Resistance,0.727169
8.9e+09,Inductance,3.73568e-09
8.9e+09,Conductance,0.00155688
8.9e+09,Capacitance,1.4772e-12
9e+09,Resistance,0.731253
9e+09,Inductance,3.73563e-09
9e+09,Conductance,0.00157385
9e+09,Capacitance,1.4772e-12
9.1e+09,Resistance,0.735329
9.1e+09,Inductance,3.73557e-09
9.1e+09,Conductance,0.00159081
9.1e+09,Capacitance,1.47719e-12
9.2e+09,Resistance,0.739389
9.2e+09,Inductance,3.73552e-09
