Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
2e+08,Capacitance,1.58056e-12,-1.57858e-13,-9.34247e-13,-4.72063e-14,1.57712e-12,-4.73778e-14,-9.30836e-13,1.55104e-12,-1.82636e-14,1.54729e-12
2.1e+08,Resistance,0.185454,0.0456215,0.0202841,0.029903,0.189099,0.0301984,0.0211701,0.183639,0.0202806,0.186372
2.1e+08,Inductance,1.32811e-08,4.15413e-09,9.19293e-09,3.53223e-09,1.33113e-08,3.53517e-09,9.1946e-09,1.32816e-08,3.0419e-09,1.3299e-08
2.1e+08,Conductance,2.94949e-05,-2.35176e-06,-1.7362e-05,-6.61976e-07,2.82431e-05,-6.4714e-07,-1.62699e-05,2.92642e-05,-4.74415e-08,2.80682e-05
2.1e+08,Capacitance,1.58048e-12,-1.57857e-13,-9.34155e-13,-4.72083e-14,1.57708e-12,-4.73808e-14,-9.30788e-13,1.55094e-12,-1.82697e-14,1.54725e-12
2.2e+08,Resistance,0.192643,0.0489138,0.0233227,0.0327229,0.196186,0.0330952,0.0240544,0.190935,0.0228688,0.193392
2.2e+08,Inductance,1.32776e-08,4.15358e-09,9.19255e-09,3.53201e-09,1.33077e-08,3.53495e-09,9.1942e-09,1.32781e-08,3.04189e-09,1.32954e-08
2.2e+08,Conductance,3.10318e-05,-2.49066e-06,-1.82144e-05,-7.01103e-07,2.97569e-05,-6.91109e-07,-1.71013e-05,3.07685e-05,-5.42157e-08,2.95633e-05
2.2e+08,Capacitance,1.58037e-12,-1.57856e-13,-9.34056e-13,-4.72093e-14,1.57702e-12,-4.73821e-14,-9.30734e-13,1.55083e-12,-1.82755e-14,1.5472e-12
2.3e+08,Resistance,0.200004,0.0523543,0.0265423,0.0356925,0.203402,0.0361394,0.027113,0.198408,0.0256079,0.20056
2.3e+08,Inductance,1.32741e-08,4.15302e-09,9.19205e-09,3.53177e-09,1.33041e-08,3.53469e-09,9.19369e-09,1.32747e-08,3.04185e-09,1.32918e-08
2.3e+08,Conductance,3.25688e-05,-2.63289e-06,-1.90536e-05,-7.40957e-07,3.12827e-05,-7.3629e-07,-1.79289e-05,3.22727e-05,-6.32456e-08,3.10685e-05
2.3e+08,Capacitance,1.58025e-12,-1.57854e-13,-9.33953e-13,-4.72096e-14,1.57695e-12,-4.73819e-14,-9.30677e-13,1.55071e-12,-1.82806e-14,1.54713e-12
2.4e+08,Resistance,0.207518,0.0559391,0.0299277,0.0388093,0.210736,0.0393275,0.0303348,0.206035,0.0284956,0.207863
2.4e+08,Inductance,1.32707e-08,4.15245e-09,9.19146e-09,3.5315e-09,1.33006e-08,3.53441e-09,9.19308e-09,1.32714e-08,3.04177e-09,1.32883e-08
2.4e+08,Conductance,3.41036e-05,-2.77784e-06,-1.98798e-05,-7.81341e-07,3.28168e-05,-7.82367e-07,-1.87518e-05,3.37748e-05,-7.43869e-08,3.25801e-05
2.4e+08,Capacitance,1.58012e-12,-1.57851e-13,-9.33848e-13,-4.72091e-14,1.57687e-12,-4.73804e-14,-9.30617e-13,1.55058e-12,-1.8285e-14,1.54705e-12
2.5e+08,Resistance,0.21517,0.0596645,0.0334665,0.0420712,0.218178,0.0426566,0.0337105,0.213796,0.0315296,0.215291
2.5e+08,Inductance,1.32673e-08,4.15187e-09,9.19079e-09,3.53121e-09,1.32971e-08,3.53411e-09,9.19239e-09,1.32681e-08,3.04166e-09,1.32848e-08
2.5e+08,Conductance,3.56345e-05,-2.92499e-06,-2.06935e-05,-8.22095e-07,3.43559e-05,-8.29066e-07,-1.95691e-05,3.52735e-05,-8.74745e-08,3.40955e-05
2.5e+08,Capacitance,1.57999e-12,-1.57848e-13,-9.33743e-13,-4.7208e-14,1.57678e-12,-4.73777e-14,-9.30558e-13,1.55044e-12,-1.82888e-14,1.54697e-12
2.6e+08,Resistance,0.222942,0.0635275,0.0371481,0.0454762,0.225721,0.046124,0.0372326,0.221676,0.0347081,0.222835
2.6e+08,Inductance,1.3264e-08,4.15129e-09,9.19005e-09,3.53091e-09,1.32936e-08,3.53379e-09,9.19165e-09,1.32648e-08,3.04153e-09,1.32814e-08
2.6e+08,Conductance,3.71602e-05,-3.07388e-06,-2.14952e-05,-8.63091e-07,3.58976e-05,-8.7615e-07,-2.03806e-05,3.67677e-05,-1.02327e-07,3.56121e-05
2.6e+08,Capacitance,1.57986e-12,-1.57845e-13,-9.33641e-13,-4.72064e-14,1.57669e-12,-4.73742e-14,-9.30499e-13,1.55029e-12,-1.82918e-14,1.54688e-12
2.7e+08,Resistance,0.230823,0.0675254,0.0409638,0.0490225,0.233357,0.0497274,0.0408952,0.22966,0.0380292,0.230487
2.7e+08,Inductance,1.32607e-08,4.1507e-09,9.18927e-09,3.53059e-09,1.32903e-08,3.53345e-09,9.19086e-09,1.32616e-08,3.04138e-09,1.32781e-08
2.7e+08,Conductance,3.86799e-05,-3.22415e-06,-2.22859e-05,-9.04236e-07,3.74398e-05,-9.2342e-07,-2.11862e-05,3.82568e-05,-1.18753e-07,3.71282e-05
2.7e+08,Capacitance,1.57972e-12,-1.57841e-13,-9.33541e-13,-4.72045e-14,1.5766e-12,-4.73699e-14,-9.30441e-13,1.55015e-12,-1.82941e-14,1.54679e-12
2.8e+08,Resistance,0.238801,0.0716561,0.0449067,0.0527087,0.241081,0.053465,0.0446935,0.237737,0.041491,0.238239
