Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
1.51e+09,Capacitance,3.19124e-13,-3.54759e-14,-2.02998e-13,-1.16428e-14,3.19192e-13,-1.16441e-14,-2.0306e-13,3.09821e-13,-5.60161e-15,3.09884e-13
1.61e+09,Resistance,74.422,73.541,74.2301,73.289,74.4175,73.2894,74.2231,74.6105,72.9943,74.6045
1.61e+09,Inductance,7.40774e-09,2.42782e-09,5.21564e-09,1.99193e-09,7.40689e-09,1.99197e-09,5.21507e-09,7.44089e-09,1.61062e-09,7.43995e-09
1.61e+09,Conductance,1.92617e-06,1.67233e-06,1.64259e-06,1.068e-06,1.82248e-06,1.08641e-06,1.79085e-06,3.11035e-06,2.64949e-07,2.99505e-06
1.61e+09,Capacitance,3.19117e-13,-3.5483e-14,-2.03e-13,-1.16452e-14,3.19186e-13,-1.16465e-14,-2.03062e-13,3.09809e-13,-5.59951e-15,3.09872e-13
1.71e+09,Resistance,74.6079,73.6452,74.4141,73.3663,74.6031,73.3668,74.4066,74.8161,73.0395,74.8096
1.71e+09,Inductance,7.40006e-09,2.42303e-09,5.20843e-09,1.98798e-09,7.39924e-09,1.98801e-09,5.20791e-09,7.43235e-09,1.60761e-09,7.43145e-09
1.71e+09,Conductance,2.15609e-06,1.8749e-06,1.83878e-06,1.18897e-06,2.05146e-06,1.20547e-06,1.98852e-06,3.47998e-06,2.93404e-07,3.36305e-06
1.71e+09,Capacitance,3.19108e-13,-3.54906e-14,-2.03e-13,-1.16481e-14,3.19178e-13,-1.16493e-14,-2.03063e-13,3.09794e-13,-5.59639e-15,3.09858e-13
1.81e+09,Resistance,74.796,73.7493,74.6008,73.4429,74.791,73.4436,74.593,75.0245,73.0831,75.0175
1.81e+09,Inductance,7.39255e-09,2.4184e-09,5.20132e-09,1.98422e-09,7.39176e-09,1.98425e-09,5.20084e-09,7.42394e-09,1.60481e-09,7.42308e-09
1.81e+09,Conductance,2.38813e-06,2.06024e-06,2.05769e-06,1.31932e-06,2.28564e-06,1.33349e-06,2.20455e-06,3.84867e-06,3.21214e-07,3.73385e-06
1.81e+09,Capacitance,3.19099e-13,-3.54978e-14,-2.02999e-13,-1.16516e-14,3.19169e-13,-1.16526e-14,-2.03063e-13,3.09778e-13,-5.59248e-15,3.09843e-13
1.91e+09,Resistance,74.986,73.8531,74.7899,73.5187,74.9808,73.5195,74.7817,75.235,73.125,75.2275
1.91e+09,Inductance,7.38524e-09,2.41399e-09,5.19435e-09,1.98069e-09,7.38449e-09,1.9807e-09,5.19393e-09,7.41571e-09,1.60223e-09,7.4149e-09
1.91e+09,Conductance,2.62164e-06,2.23001e-06,2.30032e-06,1.45908e-06,2.52402e-06,1.47067e-06,2.4404e-06,4.21505e-06,3.50542e-07,4.10573e-06
1.91e+09,Capacitance,3.19089e-13,-3.55041e-14,-2.02998e-13,-1.16555e-14,3.19159e-13,-1.16564e-14,-2.03064e-13,3.09761e-13,-5.58793e-15,3.09827e-13
2.01e+09,Resistance,75.1775,73.9564,74.9809,73.5936,75.1721,73.5946,74.9725,75.4472,73.1651,75.4393
2.01e+09,Inductance,7.37817e-09,2.40983e-09,5.18755e-09,1.97739e-09,7.37745e-09,1.97739e-09,5.18718e-09,7.40769e-09,1.59989e-09,7.40693e-09
2.01e+09,Conductance,2.85608e-06,2.38935e-06,2.5669e-06,1.60719e-06,2.76572e-06,1.61609e-06,2.69681e-06,4.57879e-06,3.83828e-07,4.47801e-06
2.01e+09,Capacitance,3.19078e-13,-3.5509e-14,-2.02997e-13,-1.16599e-14,3.1915e-13,-1.16607e-14,-2.03064e-13,3.09744e-13,-5.58292e-15,3.09811e-13
2.11e+09,Resistance,75.3705,74.0595,75.1736,73.6677,75.3649,73.6688,75.165,75.6609,73.2036,75.6525
2.11e+09,Inductance,7.37135e-09,2.40593e-09,5.18096e-09,1.97435e-09,7.37068e-09,1.97434e-09,5.18065e-09,7.39991e-09,1.59781e-09,7.39921e-09
