Frequency,R11,R12,R21,R22,L11,L12,L21,L22,G11,G12,G21,G22,C11,C12,C21,C22
4.30E+09,1.45E+02,0.00E+00,0.00E+00,1.45E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.41E-02,0.00E+00,0.00E+00,3.41E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.40E+09,1.46E+02,0.00E+00,0.00E+00,1.46E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.49E-02,0.00E+00,0.00E+00,3.49E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.50E+09,1.48E+02,0.00E+00,0.00E+00,1.48E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.57E-02,0.00E+00,0.00E+00,3.57E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.60E+09,1.50E+02,0.00E+00,0.00E+00,1.50E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.65E-02,0.00E+00,0.00E+00,3.65E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.70E+09,1.51E+02,0.00E+00,0.00E+00,1.51E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.73E-02,0.00E+00,0.00E+00,3.73E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.80E+09,1.53E+02,0.00E+00,0.00E+00,1.53E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.81E-02,0.00E+00,0.00E+00,3.81E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
4.90E+09,1.55E+02,0.00E+00,0.00E+00,1.55E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.89E-02,0.00E+00,0.00E+00,3.89E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.00E+09,1.56E+02,0.00E+00,0.00E+00,1.56E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,3.97E-02,0.00E+00,0.00E+00,3.97E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.10E+09,1.58E+02,0.00E+00,0.00E+00,1.58E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.05E-02,0.00E+00,0.00E+00,4.05E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.20E+09,1.59E+02,0.00E+00,0.00E+00,1.59E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.13E-02,0.00E+00,0.00E+00,4.13E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.30E+09,1.61E+02,0.00E+00,0.00E+00,1.61E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.21E-02,0.00E+00,0.00E+00,4.21E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.40E+09,1.62E+02,0.00E+00,0.00E+00,1.62E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.29E-02,0.00E+00,0.00E+00,4.29E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.50E+09,1.64E+02,0.00E+00,0.00E+00,1.64E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.37E-02,0.00E+00,0.00E+00,4.37E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.60E+09,1.65E+02,0.00E+00,0.00E+00,1.65E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.45E-02,0.00E+00,0.00E+00,4.45E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
