Frequency(Hz),Value Type:,RLGC1[1 1] - ( Model1 ),RLGC1[1 2] - ( Model1 ),RLGC1[2 2] - ( Model2 )
7.3e+09,Conductance,0.00169123,-0.000300498,0.00169123
7.3e+09,Capacitance,1.94669e-12,-4.06136e-13,1.94669e-12
7.5e+09,Resistance,3.77569,0.343159,3.77569
7.5e+09,Inductance,1.07189e-08,3.511e-09,1.07189e-08
7.5e+09,Conductance,0.00173401,-0.000307121,0.00173401
7.5e+09,Capacitance,1.94669e-12,-4.06135e-13,1.94669e-12
7.7e+09,Resistance,3.82667,0.347346,3.82667
7.7e+09,Inductance,1.07182e-08,3.51093e-09,1.07182e-08
7.7e+09,Conductance,0.00177665,-0.000313684,0.00177665
7.7e+09,Capacitance,1.94669e-12,-4.06133e-13,1.94669e-12
7.9e+09,Resistance,3.87632,0.352763,3.87632
7.9e+09,Inductance,1.07175e-08,3.51089e-09,1.07175e-08
7.9e+09,Conductance,0.00181951,-0.000320585,0.00181951
7.9e+09,Capacitance,1.9467e-12,-4.0614e-13,1.9467e-12
8.1e+09,Resistance,3.92472,0.356721,3.92472
8.1e+09,Inductance,1.07168e-08,3.51082e-09,1.07168e-08
8.1e+09,Conductance,0.00186231,-0.000327193,0.00186231
8.1e+09,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
8.3e+09,Resistance,3.97327,0.361313,3.97327
8.3e+09,Inductance,1.07162e-08,3.51076e-09,1.07162e-08
8.3e+09,Conductance,0.00190501,-0.000333912,0.00190501
8.3e+09,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
8.5e+09,Resistance,4.02066,0.366113,4.02066
8.5e+09,Inductance,1.07156e-08,3.5107e-09,1.07156e-08
8.5e+09,Conductance,0.00194778,-0.000340692,0.00194778
8.5e+09,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
8.7e+09,Resistance,4.06802,0.369813,4.06802
8.7e+09,Inductance,1.0715e-08,3.51066e-09,1.0715e-08
8.7e+09,Conductance,0.00199029,-0.000347193,0.00199029
8.7e+09,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
8.9e+09,Resistance,4.11466,0.374145,4.11466
8.9e+09,Inductance,1.07145e-08,3.5106e-09,1.07145e-08
8.9e+09,Conductance,0.00203288,-0.000353808,0.00203288
8.9e+09,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
9.1e+09,Resistance,4.161,0.378779,4.161
9.1e+09,Inductance,1.07139e-08,3.51055e-09,1.07139e-08
9.1e+09,Conductance,0.00207542,-0.000360471,0.00207542
9.1e+09,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
9.3e+09,Resistance,4.20673,0.383019,4.20673
9.3e+09,Inductance,1.07134e-08,3.51051e-09,1.07134e-08
9.3e+09,Conductance,0.00211792,-0.000367077,0.00211792
9.3e+09,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
9.5e+09,Resistance,4.25115,0.386647,4.25115
9.5e+09,Inductance,1.07129e-08,3.51046e-09,1.07129e-08
9.5e+09,Conductance,0.00216047,-0.000373608,0.00216047
9.5e+09,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
9.7e+09,Resistance,4.29687,0.391669,4.29687
9.7e+09,Inductance,1.07124e-08,3.51041e-09,1.07124e-08
9.7e+09,Conductance,0.00220281,-0.000380255,0.00220281
9.7e+09,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
9.9e+09,Resistance,4.34005,0.39475,4.34005
9.9e+09,Inductance,1.07119e-08,3.51038e-09,1.07119e-08
9.9e+09,Conductance,0.00224531,-0.000386703,0.00224531
9.9e+09,Capacitance,1.9467e-12,-4.06139e-13,1.9467e-12
1.01e+10,Resistance,4.38656,0.401714,4.38656
1.01e+10,Inductance,1.07115e-08,3.51035e-09,1.07115e-08
1.01e+10,Conductance,0.00228742,-0.000393586,0.00228742
1.01e+10,Capacitance,1.94669e-12,-4.0614e-13,1.94669e-12
1.03e+10,Resistance,4.42768,0.403284,4.42768
1.03e+10,Inductance,1.0711e-08,3.51031e-09,1.0711e-08
1.03e+10,Conductance,0.00232999,-0.00039983,0.00232999
1.03e+10,Capacitance,1.94669e-12,-4.06139e-13,1.94669e-12
1.05e+10,Resistance,4.46857,0.405377,4.46857
1.05e+10,Inductance,1.07105e-08,3.51024e-09,1.07105e-08
1.05e+10,Conductance,0.00237256,-0.000406127,0.00237256
1.05e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
1.07e+10,Resistance,4.5123,0.410275,4.5123
1.07e+10,Inductance,1.07101e-08,3.51019e-09,1.07101e-08
1.07e+10,Conductance,0.00241467,-0.000412719,0.00241467
1.07e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.09e+10,Resistance,4.55521,0.414563,4.55521
1.09e+10,Inductance,1.07097e-08,3.51016e-09,1.07097e-08
1.09e+10,Conductance,0.00245679,-0.000419201,0.00245679
1.09e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.11e+10,Resistance,4.59661,0.419054,4.59661
1.11e+10,Inductance,1.07093e-08,3.51013e-09,1.07093e-08
1.11e+10,Conductance,0.00249916,-0.000425842,0.00249916
1.11e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.13e+10,Resistance,4.6383,0.422491,4.6383
1.13e+10,Inductance,1.07089e-08,3.5101e-09,1.07089e-08
1.13e+10,Conductance,0.00254128,-0.000432223,0.00254128
1.13e+10,Capacitance,1.9467e-12,-4.06139e-13,1.9467e-12
1.15e+10,Resistance,4.6772,0.427446,4.6772
1.15e+10,Inductance,1.07085e-08,3.51005e-09,1.07085e-08
1.15e+10,Conductance,0.002584,-0.000439125,0.002584
1.15e+10,Capacitance,1.9467e-12,-4.06135e-13,1.9467e-12
1.17e+10,Resistance,4.71867,0.430276,4.71867
1.17e+10,Inductance,1.07081e-08,3.51003e-09,1.07081e-08
1.17e+10,Conductance,0.00262589,-0.000445269,0.00262589
1.17e+10,Capacitance,1.9467e-12,-4.0614e-13,1.9467e-12
1.19e+10,Resistance,4.75941,0.433502,4.75941
1.19e+10,Inductance,1.07078e-08,3.51e-09,1.07078e-08
1.19e+10,Conductance,0.00266787,-0.000451564,0.00266787
1.19e+10,Capacitance,1.9467e-12,-4.06141e-13,1.9467e-12
1.21e+10,Resistance,4.79881,0.437354,4.79881
1.21e+10,Inductance,1.07074e-08,3.50995e-09,1.07074e-08
1.21e+10,Conductance,0.00271011,-0.00045807,0.00271011
1.21e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.23e+10,Resistance,4.83947,0.44064,4.83947
1.23e+10,Inductance,1.07071e-08,3.50992e-09,1.07071e-08
1.23e+10,Conductance,0.00275193,-0.000464282,0.00275193
1.23e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.25e+10,Resistance,4.87807,0.44478,4.87807
1.25e+10,Inductance,1.07067e-08,3.50989e-09,1.07067e-08
1.25e+10,Conductance,0.00279418,-0.000470871,0.00279418
1.25e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.27e+10,Resistance,4.91755,0.448454,4.91755
1.27e+10,Inductance,1.07064e-08,3.50986e-09,1.07064e-08
1.27e+10,Conductance,0.00283614,-0.000477219,0.00283614
1.27e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.29e+10,Resistance,4.95476,0.45021,4.95476
1.29e+10,Inductance,1.07061e-08,3.50983e-09,1.07061e-08
1.29e+10,Conductance,0.00287826,-0.000483379,0.00287826
1.29e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
