Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_2:Line_1_2)
1.6e+10,Conductance,0.00354091
1.6e+10,Capacitance,1.91695e-12
1.61e+10,Resistance,5.36385
1.61e+10,Inductance,1.08696e-08
1.61e+10,Conductance,0.00356192
1.61e+10,Capacitance,1.91695e-12
1.62e+10,Resistance,5.37986
1.62e+10,Inductance,1.08695e-08
1.62e+10,Conductance,0.00358319
1.62e+10,Capacitance,1.91695e-12
1.63e+10,Resistance,5.39705
1.63e+10,Inductance,1.08694e-08
1.63e+10,Conductance,0.00360425
1.63e+10,Capacitance,1.91695e-12
1.64e+10,Resistance,5.4131
1.64e+10,Inductance,1.08693e-08
1.64e+10,Conductance,0.00362548
1.64e+10,Capacitance,1.91695e-12
1.65e+10,Resistance,5.42881
1.65e+10,Inductance,1.08692e-08
1.65e+10,Conductance,0.00364676
1.65e+10,Capacitance,1.91695e-12
1.66e+10,Resistance,5.44705
1.66e+10,Inductance,1.08691e-08
1.66e+10,Conductance,0.00366758
1.66e+10,Capacitance,1.91695e-12
1.67e+10,Resistance,5.46206
1.67e+10,Inductance,1.0869e-08
1.67e+10,Conductance,0.00368898
1.67e+10,Capacitance,1.91695e-12
1.68e+10,Resistance,5.47938
1.68e+10,Inductance,1.08689e-08
1.68e+10,Conductance,0.00370993
1.68e+10,Capacitance,1.91695e-12
1.69e+10,Resistance,5.49535
1.69e+10,Inductance,1.08688e-08
1.69e+10,Conductance,0.00373115
1.69e+10,Capacitance,1.91695e-12
1.7e+10,Resistance,5.51209
1.7e+10,Inductance,1.08687e-08
1.7e+10,Conductance,0.00375219
1.7e+10,Capacitance,1.91695e-12
1.71e+10,Resistance,5.52756
1.71e+10,Inductance,1.08686e-08
1.71e+10,Conductance,0.00377345
1.71e+10,Capacitance,1.91695e-12
1.72e+10,Resistance,5.54413
1.72e+10,Inductance,1.08685e-08
1.72e+10,Conductance,0.00379448
1.72e+10,Capacitance,1.91695e-12
1.73e+10,Resistance,5.55742
1.73e+10,Inductance,1.08684e-08
1.73e+10,Conductance,0.00381612
1.73e+10,Capacitance,1.91695e-12
1.74e+10,Resistance,5.57639
1.74e+10,Inductance,1.08683e-08
1.74e+10,Conductance,0.00383671
1.74e+10,Capacitance,1.91695e-12
1.75e+10,Resistance,5.58996
1.75e+10,Inductance,1.08682e-08
1.75e+10,Conductance,0.00385827
1.75e+10,Capacitance,1.91694e-12
1.76e+10,Resistance,5.60827
1.76e+10,Inductance,1.08681e-08
1.76e+10,Conductance,0.003879
1.76e+10,Capacitance,1.91695e-12
1.77e+10,Resistance,5.62265
1.77e+10,Inductance,1.0868e-08
1.77e+10,Conductance,0.00390036
1.77e+10,Capacitance,1.91695e-12
1.78e+10,Resistance,5.6397
1.78e+10,Inductance,1.08679e-08
1.78e+10,Conductance,0.00392127
