R,L,G,C 
0.467316604,4.47E-08,-4.99E-06,-7.89E-13
1.064366068,1.48E-07,-0.000323806,-2.10E-11
10.29868054,4.12E-07,0.001766342,8.69E-11
0.070875595,3.43E-09,-3.38E-07,-3.72E-14
0.113207691,5.17E-09,-5.40E-07,-6.01E-14
0.164453305,1.05E-08,5.57E-07,-1.15E-13
0.286424163,1.75E-08,1.10E-06,-2.37E-13
0.47050635,4.48E-08,-4.97E-06,-7.89E-13
1.379409824,9.25E-08,-0.000142517,-1.01E-11
10.29194302,4.12E-07,0.001767997,8.70E-11
0.04508754,2.29E-09,-7.71E-08,-2.21E-14
0.07181376,3.39E-09,-1.87E-07,-3.41E-14
0.101038125,6.59E-09,2.44E-07,-6.20E-14
0.164623769,1.05E-08,5.23E-07,-1.15E-13
0.214916177,2.40E-08,-2.42E-07,-2.55E-13
0.469950293,4.47E-08,-4.96E-06,-7.89E-13
1.063703253,1.48E-07,-0.000323938,-2.10E-11
10.31815065,4.12E-07,0.001767395,8.70E-11
0.023192665,1.26E-09,-1.13E-06,-1.23E-14
0.043526507,1.82E-09,4.59E-07,-1.94E-14
0.07237556,3.38E-09,-1.28E-07,-3.39E-14
0.114034843,5.14E-09,-3.88E-07,-5.97E-14
0.164760293,1.05E-08,5.29E-07,-1.15E-13
0.286716809,1.75E-08,1.10E-06,-2.37E-13
0.472466735,4.47E-08,-4.95E-06,-7.88E-13
1.384511757,9.25E-08,-0.000142142,-1.01E-11
10.30795604,4.12E-07,0.001768172,8.70E-11
0.015618359,8.66E-10,-2.11E-08,-7.01E-15
0.023677096,1.24E-09,-1.11E-06,-1.12E-14
0.046045022,2.26E-09,3.97E-08,-2.01E-14
0.072525187,3.38E-09,-1.06E-07,-3.39E-14
0.101451697,6.59E-09,2.43E-07,-6.20E-14
0.165071593,1.05E-08,5.25E-07,-1.15E-13
0.216824722,2.40E-08,-2.30E-07,-2.55E-13
0.472802465,4.47E-08,-4.96E-06,-7.87E-13
1.06310166,1.48E-07,-0.000324485,-2.10E-11
10.3116782,4.12E-07,0.001768886,8.70E-11
0.010607927,4.88E-10,-5.75E-09,-3.97E-15
0.015893325,6.96E-10,-9.11E-08,-6.07E-15
0.024002721,1.24E-09,-1.10E-06,-1.11E-14
0.043944816,1.81E-09,4.09E-07,-1.93E-14
0.072465456,3.38E-09,-1.16E-07,-3.39E-14
0.114022067,5.14E-09,-3.74E-07,-5.96E-14
0.165426328,1.05E-08,5.19E-07,-1.15E-13
0.287319617,1.75E-08,1.12E-06,-2.37E-13
0.470782879,4.47E-08,-4.96E-06,-7.88E-13
1.382299904,9.25E-08,-0.0001422,-1.01E-11
10.31427633,4.12E-07,0.00176811,8.70E-11
0.00716372,3.39E-10,4.22E-10,-2.29E-15
0.010780369,4.83E-10,-8.14E-09,-3.62E-15
0.016160246,8.53E-10,-7.80E-09,-6.35E-15
0.024039509,1.24E-09,-1.09E-06,-1.11E-14
0.045925747,2.26E-09,1.04E-08,-2.02E-14
0.072321331,3.38E-09,-1.24E-07,-3.39E-14
0.101368268,6.58E-09,2.35E-07,-6.19E-14
0.164611406,1.05E-08,5.22E-07,-1.15E-13
0.214103003,2.40E-08,-2.51E-07,-2.55E-13
0.469451533,4.47E-08,-4.97E-06,-7.88E-13
1.06231802,1.48E-07,-0.000323771,-2.10E-11
10.33177948,4.12E-07,0.001766971,8.70E-11
0.004703539,1.93E-10,1.86E-08,-1.19E-15
0.007038432,2.74E-10,1.02E-08,-1.97E-15
0.010919114,4.81E-10,-8.50E-09,-3.60E-15
0.016110229,6.93E-10,-8.74E-08,-6.04E-15
0.024013219,1.24E-09,-1.09E-06,-1.11E-14
0.043791122,1.81E-09,4.02E-07,-1.94E-14
0.072396162,3.38E-09,-1.07E-07,-3.39E-14
0.113929226,5.14E-09,-4.08E-07,-5.97E-14
0.164151292,1.05E-08,5.27E-07,-1.15E-13
0.285872603,1.75E-08,1.11E-06,-2.37E-13
0.4679807,4.48E-08,-5.01E-06,-7.89E-13
1.377955164,9.25E-08,-0.000142877,-1.01E-11
10.28955039,4.12E-07,0.00176965,8.70E-11
0.003219318,1.35E-10,1.50E-08,-5.95E-16
0.004783344,1.91E-10,1.57E-08,-1.09E-15
0.00739584,3.35E-10,1.14E-09,-2.08E-15
0.010941898,4.81E-10,-8.70E-09,-3.60E-15
0.016176257,8.54E-10,-9.96E-09,-6.35E-15
0.023982101,1.24E-09,-1.10E-06,-1.11E-14
0.046064374,2.26E-09,4.48E-08,-2.01E-14
0.072465521,3.38E-09,-1.11E-07,-3.39E-14
0.101324363,6.58E-09,2.42E-07,-6.20E-14
0.165119308,1.05E-08,5.49E-07,-1.15E-13
0.21606803,2.40E-08,-2.35E-07,-2.55E-13
0.474203003,4.48E-08,-4.89E-06,-7.88E-13
1.092069062,1.48E-07,-0.000323863,-2.09E-11
10.25616852,4.12E-07,0.00176559,8.69E-11
0.00210549,7.77E-11,1.95E-08,-2.16E-16
0.003078828,1.10E-10,2.10E-08,-5.20E-16
0.004784297,1.91E-10,1.57E-08,-1.09E-15
0.007053546,2.74E-10,1.02E-08,-1.97E-15
0.010797633,4.83E-10,-8.19E-09,-3.63E-15
0.015894777,6.96E-10,-8.87E-08,-6.08E-15
0.023698818,1.24E-09,-1.10E-06,-1.12E-14
0.043543004,1.82E-09,4.49E-07,-1.94E-14
0.071912499,3.39E-09,-1.89E-07,-3.41E-14
0.113434984,5.16E-09,-5.39E-07,-6.01E-14
0.160884839,1.05E-08,5.53E-07,-1.16E-13
0.281034589,1.76E-08,1.00E-06,-2.38E-13
0.461997409,4.49E-08,-4.95E-06,-7.91E-13
1.346488582,9.27E-08,-0.000141854,-1.01E-11
10.26267618,4.13E-07,0.0017677,8.69E-11
0.00144134,5.50E-11,2.24E-08,6.73E-18
0.002103277,7.77E-11,1.92E-08,-2.17E-16
0.003214986,1.35E-10,1.46E-08,-5.97E-16
0.004706309,1.93E-10,1.86E-08,-1.19E-15
0.007161405,3.40E-10,-4.29E-11,-2.30E-15
0.010585026,4.88E-10,-6.21E-09,-3.98E-15
0.01559809,8.66E-10,-2.17E-08,-7.03E-15
0.023177691,1.26E-09,-1.13E-06,-1.23E-14
0.045041135,2.29E-09,-6.83E-08,-2.21E-14
0.070879901,3.43E-09,-3.41E-07,-3.73E-14
0.093980197,6.69E-09,3.14E-07,-6.85E-14
0.15330303,1.07E-08,7.81E-07,-1.27E-13
0.194716169,2.44E-08,-1.40E-07,-2.77E-13
0.428931906,4.54E-08,-4.69E-06,-8.33E-13
0.972475284,1.50E-07,-0.000325714,-2.11E-11
10.0411232,4.16E-07,0.00175182,8.53E-11
3.00E+08,3.00E+08,3.00E+08,3.00E+08
12.38634804,4.15E-07,0.002568768,8.49E-11
1.135604495,1.49E-07,-0.000471963,-2.10E-11
12.54181917,4.11E-07,0.002583627,8.65E-11
0.506788673,4.53E-08,-5.31E-06,-8.31E-13
1.641162839,9.26E-08,-0.000205647,-1.01E-11
12.6546704,4.11E-07,0.002583619,8.65E-11
0.222159332,2.43E-08,5.99E-07,-2.77E-13
0.543966761,4.48E-08,-5.67E-06,-7.90E-13
1.291865864,1.48E-07,-0.000472252,-2.09E-11
12.67583546,4.11E-07,0.002589277,8.67E-11
0.18145917,1.06E-08,1.25E-06,-1.26E-13
0.334295224,1.76E-08,1.53E-06,-2.38E-13
0.555093257,4.47E-08,-5.59E-06,-7.87E-13
1.672841632,9.23E-08,-0.000205739,-1.01E-11
12.67079004,4.10E-07,0.00258404,8.66E-11
0.111284143,6.67E-09,6.24E-07,-6.80E-14
0.190835265,1.05E-08,1.01E-06,-1.16E-13
0.248241154,2.40E-08,3.99E-07,-2.55E-13
0.557515067,4.47E-08,-5.66E-06,-7.87E-13
1.280146093,1.48E-07,-0.00047205,-2.09E-11
12.62021655,4.11E-07,0.002584113,8.66E-11
0.085282197,3.42E-09,-3.61E-07,-3.68E-14
0.135620699,5.15E-09,-1.50E-07,-5.95E-14
0.196523115,1.05E-08,1.02E-06,-1.15E-13
0.344873947,1.75E-08,1.68E-06,-2.37E-13
0.562866096,4.47E-08,-5.63E-06,-7.87E-13
1.685711612,9.23E-08,-0.000205913,-1.01E-11
12.6177812,4.11E-07,0.002586908,8.66E-11
0.054002145,2.29E-09,-1.46E-07,-2.13E-14
0.085881385,3.38E-09,-8.68E-08,-3.35E-14
0.119725249,6.57E-09,6.36E-07,-6.15E-14
0.196552772,1.05E-08,1.01E-06,-1.15E-13
0.250556565,2.40E-08,4.03E-07,-2.55E-13
0.559925811,4.47E-08,-5.61E-06,-7.87E-13
1.272339481,1.48E-07,-0.000472906,-2.09E-11
12.65745031,4.11E-07,0.002585799,8.66E-11
0.028222219,1.25E-09,-1.12E-06,-1.21E-14
0.052512654,1.82E-09,5.15E-07,-1.86E-14
0.08666739,3.37E-09,-2.82E-08,-3.33E-14
0.137151235,5.13E-09,-1.06E-07,-5.91E-14
0.197031588,1.05E-08,1.00E-06,-1.15E-13
0.344863302,1.75E-08,1.70E-06,-2.37E-13
0.563541667,4.46E-08,-5.60E-06,-7.86E-13
1.691934486,9.23E-08,-0.000205361,-1.00E-11
12.63741696,4.10E-07,0.002586977,8.66E-11
0.018171015,8.63E-10,-1.05E-07,-6.33E-15
0.028904536,1.24E-09,-1.08E-06,-1.10E-14
0.054747382,2.25E-09,7.96E-08,-1.94E-14
0.086951131,3.37E-09,-6.23E-09,-3.33E-14
0.120578542,6.57E-09,6.26E-07,-6.16E-14
0.19733994,1.05E-08,1.01E-06,-1.15E-13
0.253098994,2.40E-08,4.25E-07,-2.55E-13
0.565120696,4.47E-08,-5.59E-06,-7.86E-13
1.278070987,1.48E-07,-0.000473635,-2.09E-11
12.64467369,4.11E-07,0.002588032,8.66E-11
0.012671922,4.86E-10,9.85E-08,-3.42E-15
0.018776475,6.94E-10,-1.72E-07,-5.51E-15
0.028924575,1.23E-09,-1.16E-06,-1.09E-14
0.052994277,1.81E-09,5.03E-07,-1.85E-14
0.086777238,3.37E-09,-1.71E-08,-3.33E-14
